Filter	Peak	Avg	AF	Time
dB-A	60.25	69.64	226	2022/7/11 16:11:15
dB-A	60.35	68.62	392	2022/7/11 16:11:15
dB-A	62.43	67.78	301	2022/7/11 16:11:16
dB-A	61.05	66.87	242	2022/7/11 16:11:16
dB-A	61.15	66.10	710	2022/7/11 16:11:16
dB-A	60.44	65.02	619	2022/7/11 16:11:16
dB-A	64.09	64.35	721	2022/7/11 16:11:16
dB-A	61.91	63.58	376	2022/7/11 16:11:16
dB-A	61.80	62.47	392	2022/7/11 16:11:16
dB-A	66.10	61.96	597	2022/7/11 16:11:16
dB-A	67.05	62.64	694	2022/7/11 16:11:16
dB-A	65.95	63.20	629	2022/7/11 16:11:16
dB-A	69.38	63.89	694	2022/7/11 16:11:17
dB-A	65.85	64.37	226	2022/7/11 16:11:17
dB-A	66.12	64.87	279	2022/7/11 16:11:17
dB-A	69.03	65.73	689	2022/7/11 16:11:17
dB-A	65.01	65.82	312	2022/7/11 16:11:17
dB-A	67.14	66.34	279	2022/7/11 16:11:17
dB-A	67.07	66.87	328	2022/7/11 16:11:17
dB-A	67.79	67.04	242	2022/7/11 16:11:17
dB-A	66.49	66.98	441	2022/7/11 16:11:17
dB-A	67.87	67.18	253	2022/7/11 16:11:17
dB-A	66.04	66.84	322	2022/7/11 16:11:17
dB-A	67.70	67.03	602	2022/7/11 16:11:18
dB-A	67.37	67.15	333	2022/7/11 16:11:18
dB-A	70.89	67.34	592	2022/7/11 16:11:18
dB-A	70.20	67.86	333	2022/7/11 16:11:18
dB-A	68.15	67.96	721	2022/7/11 16:11:18
dB-A	67.64	68.01	635	2022/7/11 16:11:18
dB-A	64.77	67.71	635	2022/7/11 16:11:18
dB-A	68.70	67.93	226	2022/7/11 16:11:18
dB-A	68.94	68.04	339	2022/7/11 16:11:18
dB-A	68.96	68.33	699	2022/7/11 16:11:18
dB-A	65.33	68.09	339	2022/7/11 16:11:18
dB-A	70.70	68.43	387	2022/7/11 16:11:19
dB-A	69.58	68.30	285	2022/7/11 16:11:19
dB-A	69.71	68.25	678	2022/7/11 16:11:19
dB-A	69.31	68.36	258	2022/7/11 16:11:19
dB-A	69.17	68.52	737	2022/7/11 16:11:19
dB-A	71.12	69.15	689	2022/7/11 16:11:19
dB-A	69.50	69.23	285	2022/7/11 16:11:19
dB-A	70.15	69.35	285	2022/7/11 16:11:19
dB-A	71.83	69.64	506	2022/7/11 16:11:19
dB-A	69.75	70.08	322	2022/7/11 16:11:19
dB-A	71.81	70.19	387	2022/7/11 16:11:19
dB-A	70.62	70.30	753	2022/7/11 16:11:20
dB-A	68.10	70.14	672	2022/7/11 16:11:20
dB-A	71.23	70.33	780	2022/7/11 16:11:20
dB-A	68.26	70.24	382	2022/7/11 16:11:20
dB-A	72.90	70.42	419	2022/7/11 16:11:20
dB-A	73.08	70.77	662	2022/7/11 16:11:20
dB-A	69.93	70.75	403	2022/7/11 16:11:20
dB-A	69.47	70.52	732	2022/7/11 16:11:20
dB-A	72.30	70.77	581	2022/7/11 16:11:20
dB-A	69.00	70.49	301	2022/7/11 16:11:20
dB-A	68.62	70.29	328	2022/7/11 16:11:21
dB-A	67.86	70.27	349	2022/7/11 16:11:21
dB-A	68.17	69.96	247	2022/7/11 16:11:21
dB-A	68.97	70.03	317	2022/7/11 16:11:21
dB-A	70.70	69.81	247	2022/7/11 16:11:21
dB-A	69.98	69.50	253	2022/7/11 16:11:21
dB-A	69.52	69.46	290	2022/7/11 16:11:21
dB-A	71.98	69.71	312	2022/7/11 16:11:21
dB-A	72.58	69.74	247	2022/7/11 16:11:21
dB-A	69.45	69.78	339	2022/7/11 16:11:21
dB-A	72.57	70.18	699	2022/7/11 16:11:21
dB-A	70.92	70.48	296	2022/7/11 16:11:22
dB-A	74.87	71.15	301	2022/7/11 16:11:22
dB-A	73.37	71.59	301	2022/7/11 16:11:22
dB-A	77.53	72.28	732	2022/7/11 16:11:22
dB-A	74.60	72.74	699	2022/7/11 16:11:22
dB-A	71.31	72.92	263	2022/7/11 16:11:22
dB-A	71.08	72.83	366	2022/7/11 16:11:22
dB-A	72.20	72.79	290	2022/7/11 16:11:22
dB-A	71.56	73.00	247	2022/7/11 16:11:22
dB-A	74.74	73.22	689	2022/7/11 16:11:22
dB-A	72.47	73.37	759	2022/7/11 16:11:22
dB-A	69.76	72.86	376	2022/7/11 16:11:23
dB-A	68.32	72.36	236	2022/7/11 16:11:23
dB-A	71.34	71.74	473	2022/7/11 16:11:23
dB-A	75.11	71.79	576	2022/7/11 16:11:23
dB-A	72.33	71.89	543	2022/7/11 16:11:23
dB-A	71.89	71.97	322	2022/7/11 16:11:23
dB-A	72.73	72.03	231	2022/7/11 16:11:23
dB-A	69.27	71.80	253	2022/7/11 16:11:23
dB-A	70.34	71.36	247	2022/7/11 16:11:23
dB-A	72.19	71.33	253	2022/7/11 16:11:23
dB-A	75.45	71.90	823	2022/7/11 16:11:23
dB-A	72.91	72.36	807	2022/7/11 16:11:24
dB-A	73.68	72.59	592	2022/7/11 16:11:24
dB-A	72.59	72.34	732	2022/7/11 16:11:24
dB-A	71.36	72.24	360	2022/7/11 16:11:24
dB-A	73.60	72.41	322	2022/7/11 16:11:24
dB-A	74.30	72.57	360	2022/7/11 16:11:24
dB-A	71.63	72.81	355	2022/7/11 16:11:24
dB-A	73.55	73.13	306	2022/7/11 16:11:24
dB-A	73.01	73.21	296	2022/7/11 16:11:24
dB-A	69.80	72.64	285	2022/7/11 16:11:24
dB-A	72.33	72.59	629	2022/7/11 16:11:25
dB-A	71.84	72.40	328	2022/7/11 16:11:25
dB-A	70.34	72.18	694	2022/7/11 16:11:25
dB-A	70.76	72.12	705	2022/7/11 16:11:25
dB-A	70.79	71.84	285	2022/7/11 16:11:25
dB-A	70.41	71.45	635	2022/7/11 16:11:25
dB-A	69.40	71.22	322	2022/7/11 16:11:25
dB-A	69.33	70.80	301	2022/7/11 16:11:25
dB-A	71.65	70.66	495	2022/7/11 16:11:25
dB-A	72.54	70.94	683	2022/7/11 16:11:25
dB-A	71.93	70.90	678	2022/7/11 16:11:25
dB-A	71.62	70.88	290	2022/7/11 16:11:26
dB-A	69.83	70.82	678	2022/7/11 16:11:26
dB-A	71.21	70.87	242	2022/7/11 16:11:26
dB-A	68.12	70.60	683	2022/7/11 16:11:26
dB-A	70.35	70.60	339	2022/7/11 16:11:26
dB-A	69.42	70.60	285	2022/7/11 16:11:26
dB-A	70.54	70.72	290	2022/7/11 16:11:26
dB-A	77.53	71.31	710	2022/7/11 16:11:26
dB-A	72.31	71.29	274	2022/7/11 16:11:26
dB-A	71.59	71.25	301	2022/7/11 16:11:26
dB-A	72.85	71.38	328	2022/7/11 16:11:26
dB-A	70.45	71.44	290	2022/7/11 16:11:27
dB-A	69.38	71.25	382	2022/7/11 16:11:27
dB-A	70.73	71.52	333	2022/7/11 16:11:27
dB-A	71.48	71.63	629	2022/7/11 16:11:27
dB-A	70.40	71.73	710	2022/7/11 16:11:27
dB-A	72.26	71.90	710	2022/7/11 16:11:27
dB-A	72.73	71.42	689	2022/7/11 16:11:27
